,Home Value,LowIncTracts_Pct,Urban_Pct,Desert_Pct,LA1and10_Pct,LAhalfand10_Pct,LA1and20_Pct,LATracts_half_Pct,LATracts1_Pct,LATracts10_Pct,LATracts20_Pct,LATractsVehicle_20_Pct,PovertyRate_FIPS,Prediction,NatWalkInd,Train,Walk_Difference,Scaled_Walk_Difference,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
1555,304157.3733666936,0.5294117647058824,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,8.935294117647059,5.8959436,5.0763888888888875,True,-0.8195547527737101,0.3174424374884571,,,,
1556,675788.5831578535,0.11538461538461539,0.9846153846153847,0.007692307692307693,0.6230769230769231,0.9153846153846154,0.6230769230769231,0.9153846153846154,0.6230769230769231,0.0,0.0,0.2923076923076923,6.641538461538461,10.923464,11.637482419127988,True,0.7140185977168549,0.4874944336809141,,,,
1557,201859.6304254128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.236244,4.66666666666667,True,-0.5695775349934866,0.3451614408687425,,,,
1558,323120.2677642235,0.2222222222222222,0.2222222222222222,0.0,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,8.066666666666666,5.986378,6.433333333333334,True,0.44695514043172224,0.4578808035230424,,,,
1559,126208.82239596648,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.6,5.2850885,5.333333333333333,True,0.04824479420979788,0.41366936084510636,,,,
1560,145737.63544582602,1.0,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.0,0.8,24.880000000000003,5.0011044,4.686274509803921,True,-0.31482984505447753,0.3734094233898838,,,,
1561,190480.28323048868,0.6,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.2,0.0,0.3,13.66,5.4441547,5.776190476190478,True,0.33203573681059506,0.4451378369210418,,,,
1562,98822.35012453026,0.5,0.5,0.2,0.1,0.6,0.0,0.5,0.0,0.1,0.0,0.1,13.6,6.54294,6.4009009009009015,True,-0.14203923886960634,0.39256950301414356,,,,
1563,371649.84640205017,0.3953488372093023,0.9534883720930233,0.23255813953488372,0.7441860465116279,0.9534883720930233,0.7441860465116279,0.9534883720930233,0.7441860465116279,0.0,0.0,0.37209302325581395,18.48139534883721,8.127027,7.210401891252955,True,-0.9166246666694082,0.3066787315184015,,,,
1564,207001.93578960063,0.48,0.8,0.36,0.56,0.8,0.56,0.8,0.56,0.0,0.0,0.52,18.215999999999998,8.112602,7.543859649122806,True,-0.5687425847639132,0.34525402525879784,,,,
1565,363532.14805557206,0.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,13.86,5.811524,6.770833333333332,True,0.959309418996174,0.5146937807437021,,,,
1566,539089.3791360218,0.038461538461538464,0.4230769230769231,0.038461538461538464,0.34615384615384615,0.4230769230769231,0.34615384615384615,0.4230769230769231,0.34615384615384615,0.0,0.0,0.038461538461538464,5.165384615384616,7.5064187,6.833333333333334,True,-0.6730853716532383,0.3336838586325077,,,,
1567,372751.80333210615,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,10.05,6.863649,7.233333333333334,True,0.36968444188435967,0.44931255569129613,,,,
1568,225769.33475361788,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,14.175,5.7785754,5.98809523809524,True,0.20951981771560124,0.43155252220440776,,,,
